Date,Adj Close,Open,High,Low
2020/6/29,"9,874.15","9,771.72","9,877.34","9,663.61"
2020/6/26,"9,757.22","9,995.12","10,000.67","9,749.07"
2020/6/25,"10,017.00","9,899.36","10,023.28","9,810.47"
2020/6/24,"9,909.17","10,092.92","10,137.50","9,842.22"
2020/6/23,"10,131.37","10,130.83","10,221.85","10,112.44"
2020/6/22,"10,056.48","9,945.49","10,059.61","9,916.60"
2020/6/19,"9,946.12","10,042.13","10,053.91","9,872.94"
2020/6/18,"9,943.05","9,892.48","9,959.20","9,885.66"
2020/6/17,"9,910.53","9,943.31","9,991.21","9,891.81"
2020/6/16,"9,895.87","9,949.78","9,963.63","9,748.38"
2020/6/15,"9,726.02","9,426.90","9,756.07","9,403.00"
2020/6/12,"9,588.81","9,715.87","9,768.64","9,413.62"
2020/6/11,"9,492.73","9,791.24","9,868.08","9,491.31"
2020/6/10,"10,020.35","10,012.32","10,086.89","9,962.58"
2020/6/9,"9,953.75","9,867.19","10,002.50","9,863.27"
2020/6/8,"9,924.75","9,823.44","9,927.12","9,780.61"
2020/6/5,"9,814.08","9,703.54","9,845.69","9,685.35"
2020/6/4,"9,615.81","9,649.65","9,716.14","9,560.41"
2020/6/3,"9,682.91","9,651.86","9,707.78","9,627.17"
2020/6/2,"9,608.38","9,566.53","9,611.22","9,472.08"
2020/6/1,"9,552.05","9,471.42","9,571.28","9,462.32"
2020/5/29,"9,489.87","9,382.35","9,505.55","9,324.73"
2020/5/28,"9,368.99","9,392.99","9,523.64","9,345.28"
2020/5/27,"9,412.36","9,346.12","9,414.62","9,144.28"
2020/5/26,"9,340.22","9,501.21","9,501.21","9,333.16"
2020/5/22,"9,324.59","9,278.55","9,328.28","9,239.41"
2020/5/21,"9,284.88","9,375.19","9,405.25","9,254.85"
2020/5/20,"9,375.78","9,305.62","9,392.82","9,304.20"
2020/5/19,"9,185.10","9,227.46","9,317.25","9,183.25"
2020/5/18,"9,234.83","9,177.15","9,267.22","9,154.35"
2020/5/15,"9,014.56","8,839.99","9,018.40","8,821.38"
2020/5/14,"8,943.72","8,788.04","8,945.71","8,705.25"
2020/5/13,"8,863.17","9,006.05","9,074.16","8,752.68"
2020/5/12,"9,002.55","9,225.15","9,250.96","9,000.07"
2020/5/11,"9,192.34","9,054.91","9,241.92","9,053.17"
2020/5/8,"9,121.32","9,056.89","9,125.98","9,018.21"
2020/5/7,"8,979.66","8,973.78","9,015.99","8,932.85"
2020/5/6,"8,854.39","8,874.70","8,933.25","8,819.37"
2020/5/5,"8,809.12","8,809.66","8,909.96","8,781.31"
2020/5/4,"8,710.72","8,555.32","8,715.82","8,537.83"
2020/5/1,"8,604.95","8,681.29","8,754.46","8,566.84"
